Classes,Tweets
A FAVOR,#JoaoNosDebates vamos lotar esse congresso com candidatos do #Novo30
A FAVOR,"@MomentsBrasil Socorro!!! Quero Amoedo nos debates. Assistir a estes despreparados é castigo!!
#amoedonosdebates 
#JoaoNosDebates
#Novo30"
A FAVOR,@joaoamoedonovo Vamos em frente com a  #JoaoNosDebates #JoaoAmoedo #Novo30
A FAVOR,#JoaoNosDebates #Vote30 #VemComJoao30 #Vote3009 PR Deputada Federal #OVotoNaRecord 
A FAVOR,#JoaoNosDebates #Vote30 #VemComJoao30 #Vote3009 PR Deputada Federal #OVotoNaRecord 
A FAVOR,#JoaoNosDebates pra não ouvir palavras vázias e mais do msm da velha política #Novo30
CONTRA,"Mano, e vcs querendo por amoedo em debate. Olha o Daciolo, que arraso!!! #amoedonão #daciolonodebatesim"
CONTRA,"Estranho seria eu apoiar candidato a favor do aborto e da ideologia de gênero.
#Amoedonão"
CONTRA,"#LuladdadNao #AlkminNao #CiroNao #MarinaNao #BoulosNao AlvaroDiasNao #AmoedoNao #DacioloNao #Etc

#BolsonaroELESIM
#EleSim #EleSim #EleSim

Dia 07 Bolsonaro no Primeiro Turno.

Brasil acima de tudo e DEUS acima de todos"
CONTRA,"Partido NOVO e Amoedo é mais do mesmo!!
#NovoÉVelho 
#AmoedoNão "
CONTRA,"#AmoêdoNão e #EleNão?
Podia anular/votar em branco então né? "
CONTRA,"“O melhor programa social que existe, chama-se EMPREGO!!!”

#foraLula 
#foraHaddad 
#foraCiro
#foraMarina
#foraAmoedo 
#17ParaOBemDoBrasil"
